#ZIPCODE,CITY,AREA,ROAD,CMP_LABLE,EVEN,LANE,LANE1,ALLEY,ALLEY1,NO_BGN,NO_BGN1,NO_END,NO_END1,FLOOR,FLOOR1,SCOOP,ROAD_NO,EXP,RMK
106,台北市,大安區,仁愛路４段,7,2,,,0,,2,0,418,0,,,"雙   2號至 418號",129361,,0002000000
110,台北市,信義區,仁愛路４段,7,2,,,0,,420,0,9998,0,,,"雙 420號以上",129361,,0420000000
110,台北市,信義區,仁愛路４段,6,1,,,0,,451,0,9999,0,,,"單 451號以上",129361,,0451000000
108,台北市,萬華區,內江街,0,,,,0,,,0,,0,,,全,133951,,0000000000
114,台北市,內湖區,內湖路１段,0,,,,0,,,0,,0,,,全,136141,,0000000000
114,台北市,內湖區,內湖路２段,0,,,,0,,,0,,0,,,全,136171,,0000000000
114,台北市,內湖區,內湖路３段,0,,,,0,,,0,,0,,,全,136201,,0000000000
100,台北市,中正區,公園路,0,,,,0,,,0,,0,,,全,142951,,0000000000
116,台北市,文山區,公館街,0,,,,0,,,0,,0,,,全,144301,,0000000000
112,台北市,北投區,公館路,0,,,,0,,,0,,0,,,全,144331,,0000000000
103,台北市,大同區,天水路,0,,,,0,,,0,,0,,,全,146281,,0000000000
112,台北市,北投區,天主巷,0,,,,0,,,0,,0,,,全,146311,,0000000000
111,台北市,士林區,天母北路,0,,,,0,,,0,,0,,,全,146371,,0000000000
111,台北市,士林區,天母西路,6,1,,,0,,1,0,99,0,,,"單   1號至  99號",146401,,0001000000
111,台北市,士林區,天母西路,7,2,,,0,,2,0,60,0,,,"雙   2號至  60號",146401,,0002000000
112,台北市,北投區,天母西路,6,1,,,0,,101,0,9999,0,,,"單 101號以上",146401,,0101000000
112,台北市,北投區,天母西路,7,2,,,0,,112,0,9998,0,,,"雙 112號以上",146401,,0112000000
111,台北市,士林區,天母東路,0,,,,0,,,0,,0,,,全,146431,,0000000000
111,台北市,士林區,天玉街,0,,,,0,,,0,,0,,,全,146491,,0000000000
100,台北市,中正區,天津街,6,1,,,0,,1,0,15,0,,,"單   1號至  15號",147181,,0001000000
100,台北市,中正區,天津街,7,2,,,0,,2,0,12,0,,,"雙   2號至  12號",147181,,0002000000
104,台北市,中山區,天津街,7,2,,,0,,14,0,9998,0,,,"雙  14號以上",147181,,0014000000
104,台北市,中山區,天津街,6,1,,,0,,17,0,9999,0,,,"單  17號以上",147181,,0017000000
104,台北市,中山區,天祥路,0,,,,0,,,0,,0,,,全,147931,,0000000000
103,台北市,大同區,太原路,0,,,,0,,,0,,0,,,全,152041,,0000000000
112,台北市,北投區,文化一路,0,,,,0,,,0,,0,,,全,156121,,0000000000
112,台北市,北投區,文化三路,0,,,,0,,,0,,0,,,全,156391,,0000000000
106,台北市,大安區,文昌街,6,1,,,0,,1,0,311,0,,,"單   1號至 311號",161251,,0001000000
106,台北市,大安區,文昌街,7,2,,,0,,2,0,298,0,,,"雙   2號至 298號",161251,,0002000000
110,台北市,信義區,文昌街,7,2,,,0,,300,0,9998,0,,,"雙 300號以上",161251,,0300000000
110,台北市,信義區,文昌街,6,1,,,0,,313,0,9999,0,,,"單 313號以上",161251,,0313000000
111,台北市,士林區,文昌路,0,,,,0,,,0,,0,,,全,161311,,0000000000
112,台北市,北投區,文林北路,0,,,,0,,,0,,0,,,全,162091,,0000000000
111,台北市,士林區,文林路,0,,,,0,,,0,,0,,,全,162181,,0000000000
114,台北市,內湖區,文湖街,0,,,,0,,,0,,0,,,全,164401,,0000000000
114,台北市,內湖區,文德路,0,,,,0,,,0,,0,,,全,166021,,0000000000
116,台北市,文山區,木柵路１段,0,,,,0,,,0,,0,,,全,170731,,0000000000
116,台北市,文山區,木柵路２段,0,,,,0,,,0,,0,,,全,170761,,0000000000
116,台北市,文山區,木柵路３段,0,,,,0,,,0,,0,,,全,170791,,0000000000
116,台北市,文山區,木柵路５段,0,,,,0,,,0,,0,,,全,170851,,0000000000
116,台北市,文山區,木柵路４段,0,,,,0,,,0,,0,,,全,170821,,0000000000
116,台北市,文山區,木新路２段,0,,,,0,,,0,,0,,,全,170941,,0000000000
116,台北市,文山區,木新路３段,0,,,,0,,,0,,0,,,全,170971,,0000000000
100,台北市,中正區,水源路,6,1,,,0,,1,0,179,0,,,"單   1號至 179號",174301,,0001000000
100,台北市,中正區,水源路,7,2,,,0,,1,0,158,0,,,"雙   1號至 158號",174301,,0001000000
108,台北市,萬華區,水源路,7,2,,,0,,160,0,9998,0,,,"雙 160號以上",174301,,0160000000
108,台北市,萬華區,水源路,6,1,,,0,,181,0,9999,0,,,"單 181號以上",174301,,0181000000
