# link=https://github.com/ronnywang/postcode
# data_time=2012-09-11
# data_source=http://www.post.gov.tw/post/internet/down/index.html?ID=190108
# description=鄉鎮縣市別稱中英對照
#ZIPCODE,CITYAREA,CITY,AREA,ECITYAREA,ECITY,EAREA,AREA1,RMK
226,北縣平溪鄉,新北市,平溪區,"Pingxi Dist., New Taipei City","New Taipei City","Pingxi Dist.",平溪區,V
226,台北縣平溪鄉,新北市,平溪區,"Pingxi Dist., New Taipei City","New Taipei City","Pingxi Dist.",平溪區,V
226,平溪鄉,新北市,平溪區,"Pingxi Dist., New Taipei City","New Taipei City","Pingxi Dist.",平溪區,V
226,台北縣平溪區,新北市,平溪區,"Pingxi Dist., New Taipei City","New Taipei City","Pingxi Dist.",平溪區,V
226,北縣平溪區,新北市,平溪區,"Pingxi Dist., New Taipei City","New Taipei City","Pingxi Dist.",平溪區,V
227,新北市雙溪區,新北市,雙溪區,"Shuangxi Dist., New Taipei City","New Taipei City","Shuangxi Dist.",雙溪區,
227,新北雙溪,新北市,雙溪區,"Shuangxi Dist., New Taipei City","New Taipei City","Shuangxi Dist.",雙溪區,
227,北市雙溪,新北市,雙溪區,"Shuangxi Dist., New Taipei City","New Taipei City","Shuangxi Dist.",雙溪區,
227,雙溪區,新北市,雙溪區,"Shuangxi Dist., New Taipei City","New Taipei City","Shuangxi Dist.",雙溪區,
227,新北雙溪區,新北市,雙溪區,"Shuangxi Dist., New Taipei City","New Taipei City","Shuangxi Dist.",雙溪區,
227,新北市雙溪,新北市,雙溪區,"Shuangxi Dist., New Taipei City","New Taipei City","Shuangxi Dist.",雙溪區,
227,北市雙溪區,新北市,雙溪區,"Shuangxi Dist., New Taipei City","New Taipei City","Shuangxi Dist.",雙溪區,
