# link=https://github.com/ronnywang/postcode
# data_time=2012-09-11
# data_source=http://www.post.gov.tw/post/internet/down/index.html?ID=190108
# description=鄉鎮縣市中英對照
#ZIPCODE,CITY,AREA,ECITYAREA,TCITYAREA,HCITYAREA,PCITYAREA
653,雲林縣,口湖鄉,"Kouhu Township, Yunlin County","Kouhu Township, Yunlin County","Kouhu Township, Yunlin County","Kouhu Township, Yunlin County"
654,雲林縣,四湖鄉,"Sihu Township, Yunlin County","Sihhu Township, Yunlin County","Sihu Township, Yunlin County","Shu Township, Yunlin County"
655,雲林縣,元長鄉,"Yuanchang Township, Yunlin County","Yuanchang Township, Yunlin County","Yuanchang Township, Yunlin County","Yuanchang Township, Yunlin County"
710,台南市,永康區,"Yongkang Dist., Tainan City","Yongkang Dist., Tainan City","Yongkang Dist., Tainan City","Yungkang Dist., Tainan City"
711,台南市,歸仁區,"Guiren Dist., Tainan City","Gueiren Dist., Tainan City","Guiren Dist., Tainan City","Gueiren Dist., Tainan City"
712,台南市,新化區,"Xinhua Dist., Tainan City","Sinhua Dist., Tainan City","Xinhua Dist., Tainan City","Shinhua Dist., Tainan City"
713,台南市,左鎮區,"Zuozhen Dist., Tainan City","Zuojhen Dist., Tainan City","Zuozhen Dist., Tainan City","Tzuojen Dist., Tainan City"
714,台南市,玉井區,"Yujing Dist., Tainan City","Yujing Dist., Tainan City","Yujing Dist., Tainan City","Yujing Dist., Tainan City"
715,台南市,楠西區,"Nanxi Dist., Tainan City","Nansi Dist., Tainan City","Nanxi Dist., Tainan City","Nanshi Dist., Tainan City"
716,台南市,南化區,"Nanhua Dist., Tainan City","Nanhua Dist., Tainan City","Nanhua Dist., Tainan City","Nanhua Dist., Tainan City"
717,台南市,仁德區,"Rende Dist., Tainan City","Rende Dist., Tainan City","Rende Dist., Tainan City","Rende Dist., Tainan City"
718,台南市,關廟區,"Guanmiao Dist., Tainan City","Guanmiao Dist., Tainan City","Guanmiao Dist., Tainan City","Guanmiao Dist., Tainan City"
719,台南市,龍崎區,"Longqi Dist., Tainan City","Longci Dist., Tainan City","Longqi Dist., Tainan City","Lungchi Dist., Tainan City"
720,台南市,官田區,"Guantian Dist., Tainan City","Guantian Dist., Tainan City","Guantian Dist., Tainan City","Guantian Dist., Tainan City"
721,台南市,麻豆區,"Madou Dist., Tainan City","Madou Dist., Tainan City","Madou Dist., Tainan City","Madou Dist., Tainan City"
722,台南市,佳里區,"Jiali Dist., Tainan City","Jiali Dist., Tainan City","Jiali Dist., Tainan City","Jiali Dist., Tainan City"
723,台南市,西港區,"Xigang Dist., Tainan City","Sigang Dist., Tainan City","Xigang Dist., Tainan City","Shigang Dist., Tainan City"
724,台南市,七股區,"Qigu Dist., Tainan City","Cigu Dist., Tainan City","Qigu Dist., Tainan City","Chigu Dist., Tainan City"
725,台南市,將軍區,"Jiangjun Dist., Tainan City","Jiangjyun Dist., Tainan City","Jiangjun Dist., Tainan City","Jiangjiun Dist., Tainan City"
726,台南市,學甲區,"Xuejia Dist., Tainan City","Syuejia Dist., Tainan City","Xuejia Dist., Tainan City","Shiuejia Dist., Tainan City"
727,台南市,北門區,"Beimen Dist., Tainan City","Beimen Dist., Tainan City","Beimen Dist., Tainan City","Beimen Dist., Tainan City"
730,台南市,新營區,"Xinying Dist., Tainan City","Sinying Dist., Tainan City","Xinying Dist., Tainan City","Shinying Dist., Tainan City"
731,台南市,後壁區,"Houbi Dist., Tainan City","Houbi Dist., Tainan City","Houbi Dist., Tainan City","Houbi Dist., Tainan City"
732,台南市,白河區,"Baihe Dist., Tainan City","Baihe Dist., Tainan City","Baihe Dist., Tainan City","Baihe Dist., Tainan City"
733,台南市,東山區,"Dongshan Dist., Tainan City","Dongshan Dist., Tainan City","Dongshan Dist., Tainan City","Dungshan Dist., Tainan City"
734,台南市,六甲區,"Liujia Dist., Tainan City","Lioujia Dist., Tainan City","Liujia Dist., Tainan City","Lioujia Dist., Tainan City"
735,台南市,下營區,"Xiaying Dist., Tainan City","Siaying Dist., Tainan City","Xiaying Dist., Tainan City","Shiaying Dist., Tainan City"
736,台南市,柳營區,"Liuying Dist., Tainan City","Liouying Dist., Tainan City","Liuying Dist., Tainan City","Liouying Dist., Tainan City"
737,台南市,鹽水區,"Yanshui Dist., Tainan City","Yanshuei Dist., Tainan City","Yanshui Dist., Tainan City","Yanshuei Dist., Tainan City"
741,台南市,善化區,"Shanhua Dist., Tainan City","Shanhua Dist., Tainan City","Shanhua Dist., Tainan City","Shanhua Dist., Tainan City"
742,台南市,大內區,"Danei Dist., Tainan City","Danei Dist., Tainan City","Danei Dist., Tainan City","Danei Dist., Tainan City"
743,台南市,山上區,"Shanshang Dist., Tainan City","Shanshang Dist., Tainan City","Shanshang Dist., Tainan City","Shanshang Dist., Tainan City"
744,台南市,新市區,"Xinshi Dist., Tainan City","Sinshih Dist., Tainan City","Xinshi Dist., Tainan City","Shinsh Dist., Tainan City"
745,台南市,安定區,"Anding Dist., Tainan City","Anding Dist., Tainan City","Anding Dist., Tainan City","Anding Dist., Tainan City"
814,高雄市,仁武區,"Renwu Dist., Kaohsiung City","Renwu Dist., Kaohsiung City","Renwu Dist., Kaohsiung City","Renwu Dist., Kaohsiung City"
815,高雄市,大社區,"Dashe Dist., Kaohsiung City","Dashe Dist., Kaohsiung City","Dashe Dist., Kaohsiung City","Dashe Dist., Kaohsiung City"
817,高雄市,東沙群島,"Dongsha Islands, Nanhai Islands","Dongsha Islands, Nanhai Islands","Dongsha Islands, Nanhai Islands","Dungsha Islands, Nanhai Islands"
819,高雄市,南沙群島,"Nansha Islands, Nanhai Islands","Nansha Islands, Nanhai Islands","Nansha Islands, Nanhai Islands","Nansha Islands, Nanhai Islands"
820,高雄市,岡山區,"Gangshan Dist., Kaohsiung City","Gangshan Dist., Kaohsiung City","Gangshan Dist., Kaohsiung City","Gangshan Dist., Kaohsiung City"
821,高雄市,路竹區,"Luzhu Dist., Kaohsiung City","Lujhu Dist., Kaohsiung City","Luzhu Dist., Kaohsiung City","Luju Dist., Kaohsiung City"
822,高雄市,阿蓮區,"Alian Dist., Kaohsiung City","Alian Dist., Kaohsiung City","Alian Dist., Kaohsiung City","Alian Dist., Kaohsiung City"
823,高雄市,田寮區,"Tianliao Dist., Kaohsiung City","Tianliao Dist., Kaohsiung City","Tianliao Dist., Kaohsiung City","Tianliau Dist., Kaohsiung City"
824,高雄市,燕巢區,"Yanchao Dist., Kaohsiung City","Yanchao Dist., Kaohsiung City","Yanchao Dist., Kaohsiung City","Yanchau Dist., Kaohsiung City"
825,高雄市,橋頭區,"Qiaotou Dist., Kaohsiung City","Ciaotou Dist., Kaohsiung City","Qiaotou Dist., Kaohsiung City","Chiautou Dist., Kaohsiung City"
826,高雄市,梓官區,"Ziguan Dist., Kaohsiung City","Zihguan Dist., Kaohsiung City","Ziguan Dist., Kaohsiung City","Tzguan Dist., Kaohsiung City"
827,高雄市,彌陀區,"Mituo Dist., Kaohsiung City","Mituo Dist., Kaohsiung City","Mituo Dist., Kaohsiung City","Mituo Dist., Kaohsiung City"
828,高雄市,永安區,"Yong’an Dist., Kaohsiung City","Yong’an Dist., Kaohsiung City","Yong’an Dist., Kaohsiung City","Yung’an Dist., Kaohsiung City"
829,高雄市,湖內區,"Hunei Dist., Kaohsiung City","Hunei Dist., Kaohsiung City","Hunei Dist., Kaohsiung City","Hunei Dist., Kaohsiung City"
830,高雄市,鳳山區,"Fengshan Dist., Kaohsiung City","Fongshan Dist., Kaohsiung City","Fengshan Dist., Kaohsiung City","Fengshan Dist., Kaohsiung City"
831,高雄市,大寮區,"Daliao Dist., Kaohsiung City","Daliao Dist., Kaohsiung City","Daliao Dist., Kaohsiung City","Daliau Dist., Kaohsiung City"
832,高雄市,林園區,"Linyuan Dist., Kaohsiung City","Linyuan Dist., Kaohsiung City","Linyuan Dist., Kaohsiung City","Linyuan Dist., Kaohsiung City"
833,高雄市,鳥松區,"Niaosong Dist., Kaohsiung City","Niaosong Dist., Kaohsiung City","Niaosong Dist., Kaohsiung City","Niausung Dist., Kaohsiung City"
840,高雄市,大樹區,"Dashu Dist., Kaohsiung City","Dashu Dist., Kaohsiung City","Dashu Dist., Kaohsiung City","Dashu Dist., Kaohsiung City"
842,高雄市,旗山區,"Qishan Dist., Kaohsiung City","Cishan Dist., Kaohsiung City","Qishan Dist., Kaohsiung City","Chishan Dist., Kaohsiung City"
843,高雄市,美濃區,"Meinong Dist., Kaohsiung City","Meinong Dist., Kaohsiung City","Meinong Dist., Kaohsiung City","Meinung Dist., Kaohsiung City"
844,高雄市,六龜區,"Liugui Dist., Kaohsiung City","Liouguei Dist., Kaohsiung City","Liugui Dist., Kaohsiung City","Liouguei Dist., Kaohsiung City"
845,高雄市,內門區,"Neimen Dist., Kaohsiung City","Neimen Dist., Kaohsiung City","Neimen Dist., Kaohsiung City","Neimen Dist., Kaohsiung City"
846,高雄市,杉林區,"Shanlin Dist., Kaohsiung City","Shanlin Dist., Kaohsiung City","Shanlin Dist., Kaohsiung City","Shanlin Dist., Kaohsiung City"
847,高雄市,甲仙區,"Jiaxian Dist., Kaohsiung City","Jiasian Dist., Kaohsiung City","Jiaxian Dist., Kaohsiung City","Jiashian Dist., Kaohsiung City"
848,高雄市,桃源區,"Taoyuan Dist., Kaohsiung City","Taoyuan Dist., Kaohsiung City","Taoyuan Dist., Kaohsiung City","Tauyuan Dist., Kaohsiung City"
849,高雄市,那瑪夏區,"Namaxia Dist., Kaohsiung City","Namasia Dist., Kaohsiung City","Namaxia Dist., Kaohsiung City","Namasia Dist., Kaohsiung City"
851,高雄市,茂林區,"Maolin Dist., Kaohsiung City","Maolin Dist., Kaohsiung City","Maolin Dist., Kaohsiung City","Maulin Dist., Kaohsiung City"
852,高雄市,茄萣區,"Qieding Dist., Kaohsiung City","Jiading Dist., Kaohsiung City","Qieding Dist., Kaohsiung City","Jiading Dist., Kaohsiung City"
880,澎湖縣,馬公市,"Magong City, Penghu County","Magong City, Penghu County","Magong City, Penghu County","Magung City, Penghu County"
881,澎湖縣,西嶼鄉,"Xiyu Township, Penghu County","Siyu Township, Penghu County","Xiyu Township, Penghu County","Shiyu Township, Penghu County"
882,澎湖縣,望安鄉,"Wang’an Township, Penghu County","Wang’an Township, Penghu County","Wang’an Township, Penghu County","Wang’an Township, Penghu County"
883,澎湖縣,七美鄉,"Qimei Township, Penghu County","Cimei Township, Penghu County","Qimei Township, Penghu County","Chimei Township, Penghu County"
884,澎湖縣,白沙鄉,"Baisha Township, Penghu County","Baisha Township, Penghu County","Baisha Township, Penghu County","Baisha Township, Penghu County"
885,澎湖縣,湖西鄉,"Huxi Township, Penghu County","Husi Township, Penghu County","Huxi Township, Penghu County","Hushi Township, Penghu County"
890,金門縣,金沙鎮,"Jinsha Township, Kinmen County","Jinsha Township, Kinmen County","Jinsha Township, Kinmen County","Jinsha Township, Kinmen County"
891,金門縣,金湖鎮,"Jinhu Township, Kinmen County","Jinhu Township, Kinmen County","Jinhu Township, Kinmen County","Jinhu Township, Kinmen County"
892,金門縣,金寧鄉,"Jinning Township, Kinmen County","Jinning Township, Kinmen County","Jinning Township, Kinmen County","Jinning Township, Kinmen County"
893,金門縣,金城鎮,"Jincheng Township, Kinmen County","Jincheng Township, Kinmen County","Jincheng Township, Kinmen County","Jincheng Township, Kinmen County"
894,金門縣,烈嶼鄉,"Lieyu Township, Kinmen County","Lieyu Township, Kinmen County","Lieyu Township, Kinmen County","Lieyu Township, Kinmen County"
896,金門縣,烏坵鄉,"Wuqiu Township, Kinmen County","Wuciou Township, Kinmen County","Wuqiu Township, Kinmen County","Wuchiou Township, Kinmen County"
900,屏東縣,屏東市,"Pingtung City, Pingtung County","Pingtung City, Pingtung County","Pingtung City, Pingtung County","Pingdung City, Pingtung County"
901,屏東縣,三地門鄉,"Sandimen Township, Pingtung County","Sandimen Township, Pingtung County","Sandimen Township, Pingtung County","Sandimen Township, Pingtung County"
902,屏東縣,霧台鄉,"Wutai Township, Pingtung County","Wutai Township, Pingtung County","Wutai Township, Pingtung County","Wutai Township, Pingtung County"
903,屏東縣,瑪家鄉,"Majia Township, Pingtung County","Majia Township, Pingtung County","Majia Township, Pingtung County","Majia Township, Pingtung County"
904,屏東縣,九如鄉,"Jiuru Township, Pingtung County","Jiouru Township, Pingtung County","Jiuru Township, Pingtung County","Jiouru Township, Pingtung County"
905,屏東縣,里港鄉,"Ligang Township, Pingtung County","Ligang Township, Pingtung County","Ligang Township, Pingtung County","Ligang Township, Pingtung County"
906,屏東縣,高樹鄉,"Gaoshu Township, Pingtung County","Gaoshu Township, Pingtung County","Gaoshu Township, Pingtung County","Gaushu Township, Pingtung County"
907,屏東縣,鹽埔鄉,"Yanpu Township, Pingtung County","Yanpu Township, Pingtung County","Yanpu Township, Pingtung County","Yanpu Township, Pingtung County"
908,屏東縣,長治鄉,"Changzhi Township, Pingtung County","Changjhih Township, Pingtung County","Changzhi Township, Pingtung County","Changjr Township, Pingtung County"
909,屏東縣,麟洛鄉,"Linluo Township, Pingtung County","Linluo Township, Pingtung County","Linluo Township, Pingtung County","Linluo Township, Pingtung County"
911,屏東縣,竹田鄉,"Zhutian Township, Pingtung County","Jhutian Township, Pingtung County","Zhutian Township, Pingtung County","Jutian Township, Pingtung County"
912,屏東縣,內埔鄉,"Neipu Township, Pingtung County","Neipu Township, Pingtung County","Neipu Township, Pingtung County","Neipu Township, Pingtung County"
913,屏東縣,萬丹鄉,"Wandan Township, Pingtung County","Wandan Township, Pingtung County","Wandan Township, Pingtung County","Wandan Township, Pingtung County"
920,屏東縣,潮州鎮,"Chaozhou Township, Pingtung County","Chaojhou Township, Pingtung County","Chaozhou Township, Pingtung County","Chaujou Township, Pingtung County"
921,屏東縣,泰武鄉,"Taiwu Township, Pingtung County","Taiwu Township, Pingtung County","Taiwu Township, Pingtung County","Taiwu Township, Pingtung County"
922,屏東縣,來義鄉,"Laiyi Township, Pingtung County","Laiyi Township, Pingtung County","Laiyi Township, Pingtung County","Laiyi Township, Pingtung County"
923,屏東縣,萬巒鄉,"Wanluan Township, Pingtung County","Wanluan Township, Pingtung County","Wanluan Township, Pingtung County","Wanluan Township, Pingtung County"
924,屏東縣,崁頂鄉,"Kanding Township, Pingtung County","Kanding Township, Pingtung County","Kanding Township, Pingtung County","Kanding Township, Pingtung County"
925,屏東縣,新埤鄉,"Xinpi Township, Pingtung County","Sinpi Township, Pingtung County","Xinpi Township, Pingtung County","Shinpi Township, Pingtung County"
926,屏東縣,南州鄉,"Nanzhou Township, Pingtung County","Nanjhou Township, Pingtung County","Nanzhou Township, Pingtung County","Nanjou Township, Pingtung County"
927,屏東縣,林邊鄉,"Linbian Township, Pingtung County","Linbian Township, Pingtung County","Linbian Township, Pingtung County","Linbian Township, Pingtung County"
928,屏東縣,東港鎮,"Donggang Township, Pingtung County","Donggang Township, Pingtung County","Donggang Township, Pingtung County","Dunggang Township, Pingtung County"
929,屏東縣,琉球鄉,"Liuqiu Township, Pingtung County","Liouciou Township, Pingtung County","Liuqiu Township, Pingtung County","Liouchiou Township, Pingtung County"
931,屏東縣,佳冬鄉,"Jiadong Township, Pingtung County","Jiadong Township, Pingtung County","Jiadong Township, Pingtung County","Jiadung Township, Pingtung County"
932,屏東縣,新園鄉,"Xinyuan Township, Pingtung County","Sinyuan Township, Pingtung County","Xinyuan Township, Pingtung County","Shinyuan Township, Pingtung County"
940,屏東縣,枋寮鄉,"Fangliao Township, Pingtung County","Fangliao Township, Pingtung County","Fangliao Township, Pingtung County","Fangliau Township, Pingtung County"
941,屏東縣,枋山鄉,"Fangshan Township, Pingtung County","Fangshan Township, Pingtung County","Fangshan Township, Pingtung County","Fangshan Township, Pingtung County"
942,屏東縣,春日鄉,"Chunri Township, Pingtung County","Chunrih Township, Pingtung County","Chunri Township, Pingtung County","Chuenr Township, Pingtung County"
943,屏東縣,獅子鄉,"Shizi Township, Pingtung County","Shihzih Township, Pingtung County","Shizi Township, Pingtung County","Shtz Township, Pingtung County"
944,屏東縣,車城鄉,"Checheng Township, Pingtung County","Checheng Township, Pingtung County","Checheng Township, Pingtung County","Checheng Township, Pingtung County"
945,屏東縣,牡丹鄉,"Mudan Township, Pingtung County","Mudan Township, Pingtung County","Mudan Township, Pingtung County","Mudan Township, Pingtung County"
946,屏東縣,恆春鎮,"Hengchun Township, Pingtung County","Hengchun Township, Pingtung County","Hengchun Township, Pingtung County","Hengchuen Township, Pingtung County"
947,屏東縣,滿州鄉,"Manzhou Township, Pingtung County","Manjhou Township, Pingtung County","Manzhou Township, Pingtung County","Manjou Township, Pingtung County"
950,台東縣,台東市,"Taitung City, Taitung County","Taitung City, Taitung County","Taitung City, Taitung County","Taitung City, Taitung County"
951,台東縣,綠島鄉,"Ludao Township, Taitung County","Lyudao Township, Taitung County","Ludao Township, Taitung County","Liudau Township, Taitung County"
952,台東縣,蘭嶼鄉,"Lanyu Township, Taitung County","Lanyu Township, Taitung County","Lanyu Township, Taitung County","Lanyu Township, Taitung County"
953,台東縣,延平鄉,"Yanping Township, Taitung County","Yanping Township, Taitung County","Yanping Township, Taitung County","Yanping Township, Taitung County"
954,台東縣,卑南鄉,"Beinan Township, Taitung County","Beinan Township, Taitung County","Beinan Township, Taitung County","Beinan Township, Taitung County"
955,台東縣,鹿野鄉,"Luye Township, Taitung County","Luye Township, Taitung County","Luye Township, Taitung County","Luye Township, Taitung County"
956,台東縣,關山鎮,"Guanshan Township, Taitung County","Guanshan Township, Taitung County","Guanshan Township, Taitung County","Guanshan Township, Taitung County"
957,台東縣,海端鄉,"Haiduan Township, Taitung County","Haiduan Township, Taitung County","Haiduan Township, Taitung County","Haiduan Township, Taitung County"
958,台東縣,池上鄉,"Chishang Township, Taitung County","Chihshang Township, Taitung County","Chishang Township, Taitung County","Chrshang Township, Taitung County"
959,台東縣,東河鄉,"Donghe Township, Taitung County","Donghe Township, Taitung County","Donghe Township, Taitung County","Dunghe Township, Taitung County"
961,台東縣,成功鎮,"Chenggong Township, Taitung County","Chenggong Township, Taitung County","Chenggong Township, Taitung County","Chenggung Township, Taitung County"
962,台東縣,長濱鄉,"Changbin Township, Taitung County","Changbin Township, Taitung County","Changbin Township, Taitung County","Changbin Township, Taitung County"
963,台東縣,太麻里鄉,"Taimali Township, Taitung County","Taimali Township, Taitung County","Taimali Township, Taitung County","Taimali Township, Taitung County"
964,台東縣,金峰鄉,"Jinfeng Township, Taitung County","Jinfong Township, Taitung County","Jinfeng Township, Taitung County","Jinfeng Township, Taitung County"
965,台東縣,大武鄉,"Dawu Township, Taitung County","Dawu Township, Taitung County","Dawu Township, Taitung County","Dawu Township, Taitung County"
966,台東縣,達仁鄉,"Daren Township, Taitung County","Daren Township, Taitung County","Daren Township, Taitung County","Daren Township, Taitung County"
970,花蓮縣,花蓮市,"Hualien City, Hualien County","Hualien City, Hualien County","Hualien City, Hualien County","Hualien City, Hualien County"
971,花蓮縣,新城鄉,"Xincheng Township, Hualien County","Sincheng Township, Hualien County","Xincheng Township, Hualien County","Shincheng Township, Hualien County"
972,花蓮縣,秀林鄉,"Xiulin Township, Hualien County","Sioulin Township, Hualien County","Xiulin Township, Hualien County","Shioulin Township, Hualien County"
973,花蓮縣,吉安鄉,"Ji’an Township, Hualien County","Ji’an Township, Hualien County","Ji’an Township, Hualien County","Ji’an Township, Hualien County"
974,花蓮縣,壽豐鄉,"Shoufeng Township, Hualien County","Shoufong Township, Hualien County","Shoufeng Township, Hualien County","Shoufeng Township, Hualien County"
975,花蓮縣,鳳林鎮,"Fenglin Township, Hualien County","Fonglin Township, Hualien County","Fenglin Township, Hualien County","Fenglin Township, Hualien County"
976,花蓮縣,光復鄉,"Guangfu Township, Hualien County","Guangfu Township, Hualien County","Guangfu Township, Hualien County","Guangfu Township, Hualien County"
977,花蓮縣,豐濱鄉,"Fengbin Township, Hualien County","Fongbin Township, Hualien County","Fengbin Township, Hualien County","Fengbin Township, Hualien County"
978,花蓮縣,瑞穗鄉,"Ruisui Township, Hualien County","Rueisuei Township, Hualien County","Ruisui Township, Hualien County","Rueisuei Township, Hualien County"
979,花蓮縣,萬榮鄉,"Wanrong Township, Hualien County","Wanrong Township, Hualien County","Wanrong Township, Hualien County","Wanrung Township, Hualien County"
981,花蓮縣,玉里鎮,"Yuli Township, Hualien County","Yuli Township, Hualien County","Yuli Township, Hualien County","Yuli Township, Hualien County"
982,花蓮縣,卓溪鄉,"Zhuoxi Township, Hualien County","Jhuosi Township, Hualien County","Zhuoxi Township, Hualien County","Juoshi Township, Hualien County"
983,花蓮縣,富里鄉,"Fuli Township, Hualien County","Fuli Township, Hualien County","Fuli Township, Hualien County","Fuli Township, Hualien County"
